date t temp ph ox ortp nh4 no silica cod bod phyto chla chlor dyno chrys crip daph eudi cyc daph_lit light ortp_krivica ortp_misca ortp_radovna q_jezernica q_krivica q_misca q_radovna q_natega diat light_m
36983 730943 7.785 7.955 12.23333333 0.019833333 0.021666667 1.19 0.316666667 1.5 2.4 6.115975 0.016071875 0 0.006666667 2.6675 0.243225 0.001428333 1.388333333 1.545 0.049991667 222.1884 0.038792494 0.12022911 0.015549051 103680 1814.4 18662.4 34560 19324.8 2.67 166.78872
36984 730944 7.790135237 7.956037007 12.24136759 0.019824525 0.021666667 1.189320949 0.317587561 1.500960933 2.399439456 6.11365691 0.016068653 0 0.006941066 2.680595589 0.244393166 0.001422656 1.365901172 1.545153549 0.049792961 224.154 0.038676978 0.12083719 0.015260151 97632 1814.4 16156.8 34560 19324.8 2.664 180.37404
36985 730945 7.805255168 7.959067483 12.24885443 0.019798783 0.021666667 1.187325589 0.320278717 1.503769096 2.397801361 6.106822283 0.016059122 0 0.007754911 2.693899211 0.245956787 0.001410643 1.340528019 1.545294849 0.049372502 226.1196 0.038566601 0.12138062 0.014991177 91584 1814.4 16156.8 34560 19324.8 2.6463 220.35888
36986 730946 7.829931127 7.963970612 12.25583121 0.019757135 0.021666667 1.18407661 0.324632847 1.508312536 2.39515102 6.095650582 0.016043487 0 0.009094173 2.70737578 0.247898702 0.001392682 1.312428291 1.545424699 0.048743874 228.0852 0.038461144 0.121854335 0.014745777 86400 2419.2 18662.4 34560 19324.8 2.6178 232.22052
36987 730947 7.863734447 7.970625578 12.2623353 0.019700606 0.021666667 1.179636702 0.330542663 1.5144793 2.391553741 6.080321269 0.016021951 0 0.01094482 2.720990213 0.250201754 0.001369162 1.281816403 1.545543904 0.04792066 230.0508 0.038360388 0.122253273 0.014527597 86400 2419.2 16156.8 34560 19324.8 2.579 47.1744
36988 730948 7.90623646 7.978911565 12.26840404 0.019630224 0.021666667 1.174068554 0.337900875 1.522157434 2.38707483 6.061013808 0.015994719 0 0.013292825 2.734707426 0.252848782 0.00134047 1.24890677 1.545653263 0.046916444 232.0038 0.038264114 0.122572372 0.014340283 81129.6 2419.2 18662.4 34560 19324.8 2.5308 132.3378
36989 730949 7.957008499 7.988707755 12.2740748 0.019547013 0.021666667 1.167434855 0.346600194 1.531234985 2.381779592 6.03790766 0.015961994 0 0.016124156 2.748492336 0.255822628 0.001306995 1.213913807 1.54575358 0.045744811 233.9694 0.038172104 0.122806568 0.014187481 121824 3110.4 29980.8 34560 19324.8 2.4738 108.22896
36990 730950 8.015621897 7.999893333 12.27938495 0.019452 0.021666667 1.159798296 0.356533333 1.5416 2.375733333 6.01118229 0.015923981 0 0.019424785 2.762309857 0.259106134 0.001269124 1.17705193 1.545845655 0.044419344 235.9224 0.038084139 0.122950798 0.014072838 103680 3110.4 24105.6 34560 19324.8 2.4086 93.96324
36991 730951 8.081647987 8.012347483 12.28437182 0.019346212 0.021666667 1.151221567 0.367593003 1.553140525 2.369001361 5.981017159 0.015880884 0 0.023180682 2.776124906 0.262682139 0.001227246 1.138535555 1.545930292 0.042953626 237.8754 0.038 0.123 0.014 81129.6 2419.2 24105.6 34560 19324.8 2.3361 121.58748
36992 730952 8.154658101 8.025949388 12.2890728 0.019230674 0.021666667 1.141767356 0.379671914 1.565744606 2.36164898 5.947591732 0.015832906 0 0.027377817 2.7899024 0.266533484 0.00118175 1.098579096 1.546008291 0.041361242 239.8158 0.037917786 0.12296557 0.013949833 81129.6 2419.2 21340.8 34560 19324.8 2.2569 143.40564
