date t temp ph ox ortp nh4 no silica cod bod phyto chla chlor dyno chrys crip daph eudi cyc daph_lit light ortp_krivica ortp_misca ortp_radovna q_jezernica q_krivica q_misca q_radovna q_natega diat light_m
35068 729028 4.755 8.06 8.746666667 0.0165 0.555 0.656666667 0.956666667 1.826643192 1.2 0.60547 0.004826667 0 0.1 0.2875 0.454 0.00827 1.5 1.551666667 0.28945 96.8373 0.048263561 0.033630735 0.005 61862.4 777.6 10713.6 34560 6307.2 1.568 19.82232
35069 729029 4.755014161 8.058649874 8.746901693 0.016497552 0.554847367 0.664078373 0.956820019 1.826905948 1.201000751 0.607047431 0.004822483 1.7E-007 0.100018719 0.293677535 0.453725671 0.008122277 1.502622833 1.57792829 0.284279687 97.62354 0.048859814 0.032384026 0.005 61862.4 777.6 12960 34560 6307.2 1.5674 16.71516
35070 729030 4.755057098 8.057304242 8.747600912 0.016490288 0.554394413 0.671368231 0.95727511 1.827685705 1.203970593 0.611728634 0.004818454 6.82E-007 0.10007427 0.300459134 0.454 0.007975346 1.510406381 1.613245669 0.279137122 98.4123 0.049342408 0.031374964 0.005 61862.4 1123.2 15206.4 34560 6307.2 1.5658 24.74388
35071 729031 4.755129492 8.055963396 8.748755537 0.016478326 0.553648553 0.67853863 0.958024489 1.828969698 1.208860904 0.619436972 0.004814576 1.54E-006 0.100165744 0.307828135 0.454 0.007829233 1.523223219 1.657388762 0.274023163 99.20484 0.049700521 0.030626184 0.005 61862.4 1641.6 15206.4 34560 6307.2 1.5631 31.13964
35072 729032 4.755232025 8.054627627 8.750356777 0.016461785 0.552617201 0.685591959 0.959060705 1.830745162 1.215623067 0.630095809 0.004810846 2.76E-006 0.10029223 0.315767877 0.454 0.007683962 1.540945923 1.710127527 0.268938666 100.00242 0.049923326 0.030160318 0.005 71193.6 1641.6 15206.4 34560 6307.2 1.5594 18.73368
35073 729033 4.755365376 8.053297226 8.752395846 0.016440785 0.551307774 0.692530605 0.960376309 1.83299933 1.224208461 0.643628508 0.004807258 4.33E-006 0.10045282 0.3242617 0.455 0.007539557 1.563447067 1.771231922 0.263884489 100.8063 0.05 0.03 0.005 61862.4 1641.6 15206.4 34560 6307.2 1.5546 51.00732
35074 729034 4.755530227 8.051972486 8.754863954 0.016415444 0.549727687 0.699356959 0.961963849 1.835719438 1.234568467 0.659958434 0.00480381 6.27E-006 0.100646604 0.33329294 0.455 0.007396043 1.590599227 1.840471906 0.258861488 101.61396 0.049933849 0.030142479 0.005 61862.4 2246.4 15206.4 34560 6307.2 1.5489 30.32316
35075 729035 4.755727259 8.050653696 8.757752314 0.016385881 0.547884355 0.706073408 0.963815876 1.83889272 1.246654465 0.67900895 0.004800496 8.57E-006 0.100872673 0.342844938 0.456 0.007253443 1.622274976 1.917617438 0.253870521 102.42918 0.049740688 0.030558518 0.005 71193.6 2937.6 17712 34560 6307.2 1.5422 14.56056
35076 729036 4.755957152 8.049341149 8.761052136 0.016352215 0.545785193 0.712682342 0.965924939 1.84250641 1.260417836 0.700703419 0.004797313 1.13E-005 0.101130118 0.352901031 0.457 0.007111784 1.65834689 2.002438475 0.248912444 103.2507 0.049428455 0.03123102 0.005 71193.6 2937.6 17712 34560 6307.2 1.5346 34.94988
35077 729037 4.756220589 8.048035135 8.764754632 0.016314566 0.543437618 0.719186148 0.968283589 1.846547744 1.275809961 0.724965205 0.004794256 1.43E-005 0.101418028 0.363444559 0.458 0.006971089 1.698687544 2.094704977 0.243988114 104.07852 0.049005089 0.032142886 0.005 71193.6 2937.6 15206.4 34560 6307.2 1.5261 59.89836255
35078 729038 4.756518249 8.046735946 8.768851015 0.016273051 0.540849043 0.725587216 0.970884374 1.851003955 1.292782219 0.751717672 0.004791322 1.78E-005 0.101735495 0.374458859 0.458 0.006831383 1.743169514 2.194186901 0.239098389 104.91516 0.048478526 0.03327702 0.005 71193.6 2937.6 15206.4 34560 6307.2 1.5168 89.94888
35079 729039 4.756850814 8.045443874 8.773332494 0.01622779 0.538026885 0.731887935 0.973719844 1.855862278 1.311285992 0.780884184 0.004788507 2.16E-005 0.102081608 0.385927271 0.459 0.006692689 1.791665372 2.300654206 0.234244125 105.75936 0.047856707 0.034616324 0.005 71193.6 2937.6 17712 34560 6307.2 1.5066 67.22352
35080 729040 4.757218964 8.044159209 8.778190283 0.016178901 0.534978558 0.738090693 0.976782549 1.861109948 1.331272659 0.812388104 0.004785806 2.58E-005 0.10245546 0.397833133 0.46 0.006555034 1.844047696 2.413876851 0.22942618 106.61112 0.047147568 0.0361437 0.005 61862.4 2246.4 15206.4 34560 6307.2 1.4955 82.16964
35081 729041 4.757623381 8.042882243 8.783415592 0.016126505 0.531711479 0.744197879 0.980065039 1.866734199 1.352693602 0.846152796 0.004783216 3.05E-005 0.102856139 0.410159784 0.461 0.00641844 1.900189059 2.533624794 0.22464541 107.47296 0.046359047 0.037842052 0.005 61862.4 1641.6 15206.4 34560 6307.2 1.4837 14.56056
35082 729042 4.758064745 8.041613267 8.788999633 0.016070719 0.528233063 0.750211881 0.983559863 1.872722266 1.375500201 0.882101623 0.004780732 3.55E-005 0.103282738 0.422890562 0.463 0.006282933 1.959962037 2.659667993 0.219902672 108.34362 0.045499084 0.03969428 0.005 61862.4 1641.6 15206.4 34560 6307.2 1.4711 28.89432
35083 729043 4.758543738 8.040352573 8.794933618 0.016011663 0.524550724 0.756135089 0.987259571 1.879061383 1.399643836 0.92015795 0.00477835 4.1E-005 0.103734345 0.436008806 0.464 0.006148538 2.023239204 2.791776407 0.215198824 109.22436 0.044575616 0.041683289 0.005 53308.8 1641.6 12960 34560 6307.2 1.4578 15.876
35084 729044 4.75906104 8.039100451 8.801208758 0.015949455 0.520671879 0.76196989 0.991156713 1.885738785 1.425075888 0.96024514 0.004776066 4.68E-005 0.104210053 0.449497854 0.465 0.006015278 2.089893136 2.929719994 0.210534722 110.11518 0.043596581 0.04379198 0.005 53308.8 1641.6 12960 34560 6307.2 1.4437 9.70704
35085 729045 4.759617332 8.037857194 8.807816265 0.015884214 0.516603942 0.767718675 0.995243838 1.892741706 1.451747737 1.002286556 0.004773877 5.31E-005 0.10470895 0.463341046 0.466 0.005883178 2.159796407 3.073268713 0.205911223 111.01734 0.042569917 0.046003257 0.005 53308.8 1123.2 12960 34560 6307.2 1.429 5.03496
35086 729046 4.760213296 8.036623092 8.81474735 0.01581606 0.512354329 0.77338383 0.999513496 1.900057381 1.479610764 1.046205562 0.004771777 5.98E-005 0.105230129 0.477521719 0.468 0.005752262 2.232821593 3.222192521 0.201329185 111.93084 0.041503562 0.04830002 0.005 53308.8 1123.2 12960 34560 6307.2 1.4136 9.158775652
35087 729047 4.760849612 8.035398437 8.821993225 0.015745111 0.507930456 0.778967746 1.003958237 1.907673045 1.50861635 1.091925522 0.004769764 6.7E-005 0.10577268 0.492023213 0.469 0.005622556 2.308841267 3.376261379 0.196789464 112.85568 0.040405455 0.050665174 0.005 53308.8 777.6 12960 34560 6307.2 1.3976 8.89056
35088 729048 4.761526961 8.03418352 8.829545101 0.015671486 0.503339737 0.784472811 1.00857061 1.915575931 1.538715874 1.1393698 0.004767832 7.46E-005 0.106335693 0.506828865 0.471 0.005494083 2.387728006 3.535245243 0.192292918 113.79312 0.039283533 0.05308162 0.005 53308.8 777.6 12960 34560 6307.2 1.381 10.90908
35089 729049 4.762246024 8.032978632 8.83739419 0.015595305 0.498589588 0.789901413 1.013343165 1.923753275 1.569860717 1.188461758 0.004765978 8.26E-005 0.106918258 0.521922015 0.472 0.005366869 2.469354384 3.698914072 0.187840402 114.7419 0.038145736 0.055532261 0.005 53308.8 777.6 10713.6 34560 6307.2 1.3638 19.25532
35090 729050 4.763007482 8.031784065 8.845531704 0.015516685 0.493687425 0.795255941 1.018268452 1.932192312 1.602002261 1.239124762 0.004764198 9.11E-005 0.107519467 0.537286002 0.474 0.005240936 2.553592975 3.867037825 0.183432775 115.7058 0.037 0.058 0.005 61862.4 777.6 10713.6 34560 6307.2 1.346 24.08616
35091 729051 4.763812017 8.03060011 8.853948855 0.015435746 0.488640662 0.800538785 1.02333902 1.940880274 1.635091884 1.291282174 0.004762488 0.00010001 0.108138409 0.552904163 0.476 0.005116311 2.640316356 4.039386461 0.179070894 116.6823 0.035854264 0.060467739 0.005 61862.4 777.6 8726.4 34560 6307.2 1.3278 103.48884
35092 729052 4.764660308 8.029427058 8.862636852 0.015352608 0.483456716 0.805752332 1.028547419 1.949804398 1.669080969 1.344857359 0.004760843 0.000109403 0.108774176 0.568759837 0.477426021 0.004993018 2.729397101 4.215729937 0.174755614 117.67392 0.034716467 0.06291838 0.005 61862.4 777.6 8726.4 34560 6307.2 1.309 115.7814
35093 729053 4.765553037 8.028265201 8.87158691 0.015267388 0.478143 0.810898971 1.033886199 1.958951917 1.703920895 1.399773679 0.004759259 0.000119261 0.109425858 0.584836364 0.479190074 0.00487108 2.820707784 4.395838212 0.170487794 118.6794 0.033594545 0.065334826 0.005 61862.4 777.6 8726.4 34560 6307.2 1.2898 82.26331826
35094 729054 4.766490885 8.02711483 8.880790238 0.015180206 0.472706932 0.815981091 1.03934791 1.968310067 1.739563042 1.455954499 0.004757734 0.000129588 0.110092546 0.601117081 0.480994746 0.004750523 2.914120981 4.579481244 0.16626829 119.7 0.032496438 0.06769998 0.005 61862.4 777.6 8726.4 34560 6307.2 1.2701 77.20272
35095 729055 4.767474533 8.025976235 8.890238048 0.01509118 0.467155925 0.821001082 1.0449251 1.977866081 1.775958792 1.513323182 0.004756261 0.000140391 0.11077333 0.617585328 0.482837575 0.00463137 3.009509267 4.766428993 0.16209796 120.74328 0.031430083 0.069996743 0.005 53308.8 777.6 8726.4 34560 6307.2 1.25 32.9994
35096 729056 4.768504662 8.02484971 8.899921552 0.01500043 0.461497396 0.82596133 1.050610321 1.987607195 1.813059525 1.571803092 0.004754838 0.000151673 0.1114673 0.634224442 0.4847161 0.004513647 3.106745216 4.956451415 0.157977659 121.8168 0.030403419 0.07220802 0.005 42422.4 1123.2 10713.6 38262.85714 6307.2 1.2295 32.25096
