date t temp ph ox ortp nh4 no silica cod bod phyto chla chlor dyno chrys crip daph eudi cyc daph_lit light ortp_krivica ortp_misca ortp_radovna q_jezernica q_krivica q_misca q_radovna q_natega diat light_m
35856 729816 5.3995 7.823666667 11.17333333 0.015 0.01 1.756666667 1.069666667 1.123333333 2.21 3.736155 0.008849667 0 0.01 0 6.73E-02 0.001 1.33E+00 10.83333333 0.035 161.9604 0.028644082 0.152441489 0.013 42422.4 1814.4 13737.6 34560 16243.2 3.2086 101.92392
35857 729817 5.402351947 7.825995794 11.19652245 0.015 0.010001761 1.756249462 1.058012251 1.124846803 2.209952983 3.763499693 0.008954976 3.20E-05 0.010072578 0 0.066467254 0.001002469 1.359358601 11.08639589 0.035086404 163.674 0.028814366 0.153864525 0.014702624 42422.4 1296 11318.4 34560 16243.2 3.2288 152.88588
35858 729818 5.410778315 7.829483952 11.21992068 0.015 0.01000703 1.755030251 1.044981262 1.12926966 2.209813622 3.791623223 0.009074358 0.000125637 0.010285294 0 6.56E-02 0.001009824 1.435413022 11.44641143 0.035343856 165.4128 0.028996657 0.155258901 0.016335277 42422.4 1814.4 11318.4 34560 16243.2 3.2493 196.36344
35859 729819 5.424584894 7.834066746 11.24347541 0.015 0.010015783 1.75305764 1.030658697 1.136425578 2.209584452 3.820431767 0.009206789 0.000277085 0.010630624 0 0.064632933 0.001021992 1.558464529 11.90655629 0.035769711 167.1642 0.029188434 0.156573165 0.017827988 53308.8 2419.2 11318.4 34560 16243.2 3.2699 153.40752
35860 729820 5.443577477 7.839679778 11.26713401 0.015 0.010027998 1.750380237 1.015129551 1.146138231 2.209268008 3.8498315 0.009351249 0.000482643 0.01110104 0 0.06361644 0.001038895 1.72548105 12.4600068 0.036361327 168.9408 0.029387177 0.157755862 0.019110787 61862.4 1814.4 13737.6 34560 16243.2 3.2907 220.97124
35861 729821 5.467561853 7.846258651 11.29084388 0.015 0.010043653 1.747046647 0.99847882 1.158231293 2.208866824 3.879728599 0.009506714 0.000738581 0.011689018 0 0.062540449 0.001060459 1.933430515 13.09993929 0.037116062 170.7174 0.029590366 0.158755536 0.020113703 61862.4 1296 13737.6 34560 16243.2 3.3116 191.624832
35862 729822 5.496343813 7.853738969 11.31455239 0.015 0.010062724 1.743105477 0.980791501 1.172528435 2.208383436 3.91002924 0.009672162 0.001041166 0.012387032 0 0.061410001 0.001086608 2.179280855 13.81953011 0.038031273 172.5066 0.029795481 0.159520734 0.020766764 41385.6 1296 11318.4 34560 16243.2 3.3326 158.28372
35863 729823 5.529729149 7.862056335 11.33820694 0.015 0.010085189 1.738605333 0.962152588 1.188853333 2.207820377 3.940639598 0.00984657 0.001386667 0.013187556 0 0.060230136 0.001117266 2.46 14.61195559 0.039104317 174.321 0.03 0.16 0.021 41385.6 1296 11318.4 34560 16243.2 3.3535 51.50628
35864 729824 5.567523652 7.871146352 11.36175489 0.015 0.010111025 1.733594822 0.942647079 1.20702966 2.207180184 3.97146585 0.010028916 0.001771351 0.014083063 0 0.059005898 0.001152359 2.772555879 15.47039207 0.04033255 176.1354 0.030220573 0.160307649 0.020989711 33264 1296 11318.4 34560 16243.2 3.3744 60.7824
35865 729825 5.609533111 7.880944624 11.38514365 0.015 0.01014021 1.72812255 0.92235997 1.226881088 2.20646539 4.002414173 0.010218177 0.002191487 0.015066029 0 0.057742326 0.001191809 3.113916424 16.38801588 0.041713331 177.9624 0.030474417 0.160593128 0.020959491 25920 1296 11318.4 34560 16243.2 3.3953 123.56064
35866 729826 5.655563319 7.891386753 11.40832058 0.015 0.010172721 1.722237123 0.901376255 1.248231293 2.20567853 4.033390741 0.010413331 0.002643343 0.016128928 0 0.056444464 0.001235543 3.481049563 17.35800336 0.043244017 179.8146 0.030759865 0.160857682 0.02091031 25920 1296 11318.4 34560 16243.2 3.4159 167.35572
35867 729827 5.705420066 7.902408344 11.43123308 0.015 0.010208535 1.715987149 0.879780931 1.270903946 2.20482214 4.064301732 0.010613356 0.003123188 0.017264233 0 0.055117353 0.001283485 3.870923226 18.37353085 0.044921964 181.6668 0.031075251 0.161102557 0.020843138 25920 1296 11318.4 34560 16243.2 3.4364 148.2680348
35868 729828 5.758909142 7.913944999 11.45382853 0.015 0.010247629 1.709421232 0.857658994 1.294722721 2.203898754 4.095053321 0.010817228 0.003627289 0.01846442 0 0.053766033 0.001335558 4.280505345 19.42777468 0.046744531 183.519 0.031418907 0.161328998 0.020758946 25920 1296 11318.4 34560 16243.2 3.4566 203.71176
35869 729829 5.815836339 7.925932322 11.47605431 0.015 0.010289981 1.702587981 0.835095441 1.319511293 2.202910906 4.125551684 0.011023927 0.004151914 0.019721962 0 0.052395548 0.001391688 4.706763848 20.51391119 0.048709074 185.3964 0.031789166 0.161538251 0.020658704 25920 1296 11318.4 34560 16243.2 3.4766 120.56688
35870 729830 5.876007448 7.938305915 11.4978578 0.015 0.010335568 1.695536 0.812175266 1.345093333 2.201861132 4.155702998 0.011232428 0.004693333 0.021029333 0 0.051010938 0.001451799 5.146666667 21.62511671 0.05081295 187.2738 0.032184363 0.16173156 0.020543381 25920 1296 11318.4 34560 16243.2 3.4962 161.05068
35871 729831 5.93922826 7.951001383 11.5191864 0.015 0.010384367 1.688313897 0.788983466 1.371292517 2.200751967 4.185413438 0.011441709 0.005247813 0.022379009 0 0.049617245 0.001515815 5.59718173 22.75456758 0.053053516 189.1638 0.032602829 0.161910171 0.020413948 25920 1296 11318.4 34560 16243.2 3.5154 134.946
35872 729832 6.005304565 7.963954328 11.53998748 0.015 0.010436356 1.680970278 0.765605037 1.397932517 2.199585944 4.214589181 0.011650749 0.005811623 0.023763462 0 0.04821951 0.001583661 6.055276968 23.89544014 0.055428131 191.0664 0.033042898 0.16207533 0.020271375 25920 1296 11318.4 34560 16243.2 3.5341 263.90448
35873 729833 6.074042154 7.977100353 11.56020842 0.015 0.010491512 1.673553749 0.742124975 1.424837007 2.1983656 4.243136403 0.011858525 0.00638103 0.025175168 0 0.046822775 0.001655261 6.517920311 25.04091073 0.057934151 192.969 0.033502904 0.162228282 0.020116632 25920 1296 11318.4 34560 16243.2 3.5524 254.28816
35874 729834 6.145246819 7.990375063 11.57979662 0.015 0.010549812 1.666112917 0.718628276 1.45182966 2.197093468 4.270961279 0.012064014 0.006952303 0.026606601 0 0.045432083 0.001730541 6.982079689 26.18415567 0.060568933 194.8842 0.033981179 0.162370271 0.01995069 22636.8 1296 11318.4 34560 16243.2 3.5701 134.31744
35875 729835 6.218724349 8.00371406 11.59869944 0.015 0.010611234 1.658696389 0.695199936 1.47873415 2.195772084 4.297969987 0.012266193 0.00752171 0.028050234 0 0.044052473 0.001809424 7.444723032 27.31835131 0.063329834 196.812 0.034476056 0.162502545 0.019774518 22636.8 1296 11318.4 34560 16243.2 3.5872 25.03872
35876 729836 6.294280537 8.017052947 11.61686429 0.015 0.010675754 1.65135277 0.671924951 1.50537415 2.194403983 4.324068701 0.012464041 0.00808552 0.029498542 0 0.042688989 0.001891835 7.90281827 28.43667399 0.066214212 198.7398 0.034985869 0.162626346 0.019589087 22636.8 1296 11318.4 34560 16243.2 3.6036 344.41344
35877 729837 6.371721173 8.030327328 11.63423854 0.015 0.010743351 1.644130667 0.648888316 1.531573333 2.192991698 4.349163599 0.012656534 0.00864 0.030944 0 0.041346671 0.001977698 8.353333333 29.53230003 0.069219424 200.6676 0.03550895 0.162742922 0.019395367 22636.8 1296 11318.4 34560 16243.2 3.6194 242.76672
35878 729838 6.450852047 8.043472806 11.65076957 0.015 0.010814002 1.637078686 0.626175028 1.557155374 2.191537766 4.373160855 0.012842651 0.009181419 0.032379081 0 0.040030561 0.002066938 8.793236152 30.59840578 0.072342828 202.608 0.036043634 0.162853518 0.019194328 22636.8 1296 11318.4 34560 16243.2 3.6344 232.509312
35879 729839 6.531478951 8.056424984 11.66640477 0.015 0.010887683 1.630245434 0.603870083 1.581943946 2.19004472 4.395966647 0.013021368 0.009706045 0.03379626 0 0.038745701 0.002159479 9.219494655 31.62816756 0.075581779 204.5484 0.036588252 0.162959378 0.01898694 22636.8 1296 11318.4 34560 16243.2 3.6486 248.84496
35880 729840 6.613407676 8.069119466 11.68109152 0.015 0.010964372 1.623679518 0.582058476 1.605762721 2.188515095 4.417487151 0.013191664 0.010210146 0.035188012 0 0.037497133 0.002255247 9.629076774 32.61476173 0.078933637 206.5014 0.037141139 0.163061748 0.018774174 19526.4 1296 11318.4 34560 16243.2 3.662 256.2327235
35881 729841 6.696444012 8.081491855 11.69477721 0.015 0.011044047 1.617429543 0.560825204 1.628435374 2.186951427 4.437628541 0.013352516 0.01068999 0.036546809 0 0.036289897 0.002354164 10.01895044 33.55136461 0.082395757 208.4544 0.037700627 0.163161874 0.018556999 19526.4 1296 11318.4 34560 16243.2 3.6744 139.00572
35882 729842 6.78039375 8.093477753 11.70740922 0.015 0.011126684 1.611544117 0.540255262 1.649785578 2.185356251 4.456296996 0.013502901 0.011141846 0.037865127 0 0.035129036 0.002456157 10.38608358 34.43115254 0.085965497 210.4074 0.038265049 0.163261 0.018336386 19526.4 1296 11318.4 34560 16243.2 3.6859 71.73684
35883 729843 6.865062682 8.105012765 11.71893493 0.015 0.011212262 1.606071845 0.520433647 1.669637007 2.1837321 4.47339869 0.013641798 0.011561983 0.03913544 0 0.03401959 0.002561149 10.72744412 35.24730186 0.089640214 212.373 0.038832739 0.163360373 0.018113305 19526.4 1296 8899.2 34560 16243.2 3.6965 20.93364
35884 729844 6.950256598 8.116032494 11.72930173 0.015 0.011300757 1.601061333 0.501445355 1.687813333 2.182081509 4.4888398 0.013768182 0.011946667 0.040350222 0 0.032966603 0.002669065 11.04 35.9929889 0.093417266 214.326 0.039402029 0.163461237 0.017888726 19526.4 1296 11318.4 34560 16243.2 3.7059 32.68286609
35885 729845 7.035781289 8.126472542 11.738457 0.015 0.011392146 1.59656119 0.483375381 1.704138231 2.180407015 4.502526501 0.013881033 0.012292167 0.041501948 0 0.031975115 0.002779829 11.32071914 36.66139 0.09729401 216.2916 0.039971253 0.163564838 0.017663619 19526.4 1296 8899.2 34560 16243.2 3.7143 94.902192
35886 729846 7.121442546 8.136268514 11.74634813 0.015 0.011486408 1.592620019 0.466308722 1.718435374 2.17871115 4.514364971 0.013979328 0.012594752 0.04258309 0 0.031050168 0.002893366 11.56656948 37.24568149 0.101267802 218.2572 0.040538744 0.16367242 0.017438955 19526.4 1296 8899.2 34560 16243.2 3.7215 206.97768
35887 729847 7.207046159 8.145356012 11.75292249 0.015 0.011583518 1.58928643 0.450330373 1.730528435 2.176996451 4.524261384 0.014062043 0.01285069 0.043586125 0 0.030196803 0.0030096 11.77451895 37.73903972 0.105336001 220.2228 0.041102836 0.163785231 0.017215703 19526.4 1296 6566.4 34560 16243.2 3.7275 164.29392
35888 729848 7.292397921 8.15367064 11.75812748 0.015 0.011683456 1.586609026 0.43552533 1.740241088 2.175265451 4.532121918 0.014128157 0.013056249 0.044503526 0 0.029420062 0.003128456 11.94153547 38.13464101 0.109495962 222.1884 0.04166186 0.163904514 0.016994834 25920 1296 6566.4 34560 16243.2 3.7323 66.06684
35889 729849 7.377303621 8.161148 11.76191047 0.015 0.011786197 1.584636416 0.42197859 1.747397007 2.173520687 4.537852747 0.014176647 0.013207697 0.045327767 0 0.028724987 0.003249858 12.06458698 38.42566171 0.113745045 224.154 0.042214151 0.164031515 0.016777317 33264 1296 6566.4 34560 16243.2 3.7358 126.3517277
35890 729850 7.46156905 8.167723697 11.76421885 0.015 0.011891719 1.583417205 0.409775148 1.751819864 2.171764691 4.54136005 0.014206491 0.013301302 0.046051322 0 0.028116619 0.003373732 12.1406414 38.60527815 0.118080605 226.1196 0.042758042 0.16416748 0.016564124 50457.6 1296 6566.4 34560 16243.2 3.7379 180.71424
35891 729851 7.545 8.173333333 11.765 0.015 0.012 1.583 0.399 1.753333333 2.17 4.54255 0.014216667 0.013333333 0.046666667 0 0.0276 0.0035 12.16666667 38.66666667 0.1225 228.0852 0.043291865 0.164313654 0.016356224 70156.8 1814.4 11318.4 34560 16243.2 3.7386 120.06792
35892 729852 7.630388824 8.178294395 11.76181291 0.015 0.012217187 1.583069668 0.388961082 1.752284315 2.168003083 4.533756983 0.014190834 0.013331331 0.047204798 0.001179396 0.027132493 0.003669911 12.1418309 38.57938192 0.128446878 230.0508 0.043813953 0.164471282 0.016154588 70156.8 1814.4 11318.4 34560 16243.2 3.73 73.80072
35893 729853 7.720522539 8.182978614 11.75249916 0.015 0.012640967 1.583273259 0.378921283 1.749218737 2.165568449 4.508060885 0.014115342 0.013325481 0.047703557 0.004629731 0.026668498 0.003921321 12.06920505 38.32430709 0.137246248 232.0038 0.044322641 0.164641609 0.015960185 70156.8 1814.4 13737.6 34560 16243.2 3.7049 210.924
35894 729854 7.815198933 8.187402963 11.73743009 0.015 0.013258632 1.583602659 0.368898029 1.744258814 2.162725686 4.466486135 0.0139932 0.013316016 0.048165682 0.010219227 0.026208615 0.004249072 11.95161127 37.91161127 0.148717507 233.9694 0.044816261 0.164825881 0.015773985 70156.8 1814.4 13737.6 34560 16243.2 3.6644 154.2162791
35895 729855 7.914215792 8.191584415 11.71697699 0.015 0.014057469 1.584049749 0.358908745 1.737526764 2.159504385 4.410057163 0.013827418 0.013303168 0.048593913 0.017816106 0.025753444 0.004648002 11.79187172 37.35146356 0.162680054 235.9224 0.045293146 0.165025343 0.01559696 61084.8 1814.4 13737.6 34560 16243.2 3.6092 83.28096
35896 729856 8.017370902 8.195539941 11.69151118 0.015 0.015024768 1.584606414 0.348970858 1.729144801 2.155934136 4.339798397 0.013621006 0.013287172 0.048990988 0.02728859 0.025303584 0.005112951 11.59280855 36.65403304 0.178953286 237.8754 0.045751629 0.165241241 0.015430078 61084.8 1814.4 13737.6 34560 16243.2 3.5406 52.30008
35897 729857 8.124462051 8.199286513 11.66140397 0.015 0.016147819 1.585264536 0.339101794 1.719235141 2.152044531 4.256734266 0.013376973 0.01326826 0.049359645 0.038504901 0.024859634 0.00563876 11.35724393 35.82948882 0.197356603 239.8158 0.046190044 0.165474819 0.015274311 61084.8 1814.4 16243.2 34560 16243.2 3.4594 97.02504
