date t temp ph ox ortp nh4 no silica cod bod phyto chla chlor dyno chrys crip daph eudi cyc daph_lit light ortp_krivica ortp_misca ortp_radovna q_jezernica q_krivica q_misca q_radovna q_natega diat light_m
34767 728727 4.3238853 7.962166075 10.60125292 0.007531396 0.381371273 1.185415201 1.252372676 1.718257239 1.434355064 1.138447744 0.003609722 0.00225 0.003343417 0.001139304 0.206966532 0.001623847 1.566061133 0.026786623 0.056834633 176.1354 0.040658659 0.106899196 0.026429361 50457.6 2419.2 16156.8 34560 26265.6 0.47983 37.03644
34768 728728 4.340176294 7.963635352 10.6490536 0.007598167 0.377342137 1.196398298 1.247963477 1.723279601 1.452680205 1.16800398 0.003651922 0.00225 0.004198419 0.004446064 0.205151734 0.001594912 1.534806996 0.027144153 0.055821918 177.9624 0.04040533 0.10602903 0.025499356 50457.6 1814.4 13651.2 34560 26265.6 0.4928 160.07544
34769 728729 4.366658959 7.966031071 10.69524113 0.007698304 0.372021603 1.208032384 1.242331757 1.731340703 1.470682487 1.205150809 0.003694817 0.00225 0.005540791 0.009753553 0.203283707 0.001566568 1.50453087 0.027735747 0.054829896 179.8146 0.040089825 0.105082695 0.024540652 50457.6 1209.6 13651.2 34560 26265.6 0.50681 208.27044
34770 728730 4.402785939 7.969309807 10.73998793 0.007829796 0.365518686 1.220233883 1.235536872 1.742187317 1.488427785 1.249205327 0.003738289 0.00225 0.007346318 0.016895044 0.201365549 0.001538855 1.475192705 0.028557897 0.053859942 181.6668 0.039716705 0.104065458 0.02355797 50457.6 1209.6 11232 34560 26265.6 0.52181 208.97352
34771 728731 4.448009876 7.973428136 10.78346643 0.007990634 0.357942397 1.232919221 1.227638177 1.755566214 1.505981977 1.299484633 0.003782221 0.00225 0.009590785 0.025703808 0.19940036 0.001511812 1.446752451 0.029607094 0.052913431 183.519 0.039290529 0.102982587 0.022556027 50457.6 1209.6 11232 34560 26265.6 0.53769 125.57916
34772 728732 4.501783414 7.978342634 10.82584906 0.008178808 0.34940175 1.246004824 1.218695026 1.771224167 1.523410939 1.355305826 0.003826495 0.00225 0.012249977 0.03601312 0.197391241 0.001485478 1.419170056 0.03087983 0.051991735 185.3964 0.038815855 0.101839351 0.021539541 50457.6 1209.6 11232 34560 26265.6 0.55441 154.85904
34773 728733 4.563559195 7.984009874 10.86730824 0.008392308 0.340005757 1.259407117 1.208766776 1.788907946 1.540780547 1.415986004 0.003870995 0.00225 0.01529968 0.04765625 0.19534129 0.001459892 1.392405471 0.032372594 0.051096231 187.2738 0.038297245 0.100641017 0.020513233 41385.6 1209.6 11232 34560 26265.6 0.57188 138.21192
34774 728734 4.632789864 7.990386432 10.90801639 0.008629124 0.329863431 1.273042525 1.197912781 1.808364323 1.558156677 1.480842266 0.003915604 0.00225 0.018715677 0.060466472 0.193253609 0.001435094 1.366418643 0.034081879 0.050228293 189.1638 0.037739256 0.099392853 0.019481821 41385.6 1209.6 13651.2 34560 26265.6 0.59003 38.03436
34775 728735 4.708928063 7.997428883 10.94814595 0.008887246 0.319083785 1.286827473 1.186192396 1.82934007 1.575605205 1.54919171 0.003960203 0.00225 0.022473756 0.074277059 0.191131295 0.001411123 1.341169524 0.036004176 0.049389295 191.0664 0.037146449 0.098100127 0.018450023 41385.6 1209.6 13651.2 34560 26265.6 0.60878 215.77752
34776 728736 4.791426435 8.005093803 10.98786933 0.009164665 0.307775832 1.300678388 1.173664976 1.85158196 1.593192009 1.620351434 0.004004677 0.00225 0.026549699 0.088921283 0.18897745 0.001388017 1.316618061 0.038135976 0.048580611 192.969 0.036523383 0.096768106 0.017422558 41385.6 1209.6 11232 34560 26265.6 0.62807 27.76032
34777 728737 4.879737623 8.013337765 11.02735897 0.00945937 0.296048584 1.314511694 1.160389877 1.874836762 1.610982964 1.693638537 0.004048907 0.00225 0.030919293 0.104232416 0.186795173 0.001365818 1.292724205 0.04047377 0.047803616 194.8842 0.035874617 0.095402059 0.016404145 41385.6 1209.6 11232 34560 26265.6 0.64782 21.3192
34778 728738 4.973314272 8.022117346 11.06678728 0.009769352 0.284011054 1.328243817 1.146426453 1.898851249 1.629043946 1.768370118 0.004092776 0.00225 0.035558323 0.120043732 0.184587563 0.001344562 1.269447905 0.04301405 0.047059685 196.812 0.035204712 0.094007252 0.015399503 41385.6 1814.4 13651.2 34560 26265.6 0.66795 33.15816
34779 728739 5.071609023 8.031389121 11.1063267 0.010092601 0.271772254 1.341791182 1.13183406 1.923372194 1.647440833 1.843863274 0.004136168 0.00225 0.040442574 0.136188502 0.182357721 0.001324291 1.246749109 0.045753305 0.046350192 198.7398 0.034518225 0.092588955 0.014413351 41385.6 1814.4 13651.2 34560 26265.6 0.6884 110.27016
34780 728740 5.174074521 8.041109663 11.14614965 0.010427107 0.259441199 1.355070215 1.116672053 1.948146366 1.6662395 1.919435105 0.004178964 0.00225 0.04554783 0.1525 0.180108746 0.001305043 1.224587768 0.048688029 0.045676511 200.6676 0.033819718 0.091152435 0.013450406 41385.6 1209.6 13651.2 34560 26265.6 0.70909 214.12188
34781 728741 5.280163407 8.05123555 11.18642856 0.01077086 0.2471269 1.367997341 1.100999787 1.972920538 1.685505824 1.994402709 0.004221049 0.00225 0.050849877 0.168811498 0.177843738 0.001286858 1.202923831 0.051814711 0.045040018 202.608 0.033113749 0.08970296 0.012515389 41385.6 864 13651.2 34560 26265.6 0.72995 84.22635789
34782 728742 5.389328326 8.061723355 11.22733585 0.01112185 0.23493837 1.380488985 1.084876617 1.997441483 1.70530568 2.068083184 0.004262304 0.00225 0.0563245 0.184956268 0.175565796 0.001269774 1.181717247 0.055129844 0.044442085 204.5484 0.032404877 0.088245798 0.011613018 41385.6 864 11232 34560 26265.6 0.75089 212.3982
34783 728743 5.501021921 8.072529654 11.26904394 0.011478068 0.222984623 1.392461573 1.068361898 2.02145597 1.725704947 2.139793628 0.004302612 0.00225 0.061947484 0.200767584 0.173278021 0.001253831 1.160927965 0.058629918 0.043884089 206.5014 0.031697663 0.086786215 0.010748011 41385.6 864 11232 34560 26265.6 0.77187 234.6246
34784 728744 5.614696834 8.083611021 11.31172527 0.011837504 0.21137467 1.403831531 1.051514985 2.044710772 1.746769499 2.208851141 0.004341856 0.00225 0.067694614 0.216078717 0.170983512 0.001239069 1.140515935 0.062311424 0.043367403 208.4544 0.030996665 0.085329482 0.009925088 41385.6 864 11232 34560 26265.6 0.79278 131.95224
34785 728745 5.72980571 8.094924033 11.35555225 0.012198148 0.200217525 1.414515283 1.034395234 2.066952661 1.768565213 2.274572819 0.00437992 0.00225 0.073541676 0.230722941 0.168685369 0.001225526 1.120441106 0.066170854 0.042893402 210.4074 0.030306444 0.083880864 0.009148967 37152 864 11232 34560 26265.6 0.81358 41.64048
34786 728746 5.84580119 8.106425263 11.40069733 0.012557989 0.1896222 1.424429255 1.017062 2.087928409 1.791157965 2.336275763 0.004416685 0.00225 0.079464453 0.244533528 0.166386691 0.001213242 1.100663428 0.070204699 0.04246346 212.373 0.029631558 0.08244563 0.008424366 61084.8 1814.4 13651.2 34560 26265.6 0.83417 243.19764
34787 728747 5.962135919 8.118071288 11.44733291 0.012915019 0.179697708 1.433489872 0.999574637 2.107384786 1.814613633 2.393277071 0.004452034 0.00225 0.085438732 0.25734375 0.164090579 0.001202256 1.081142849 0.074409449 0.042078952 214.326 0.028976568 0.081029048 0.007756006 50457.6 1209.6 13651.2 34560 26265.6 0.85449 54.432
34788 728748 6.078262539 8.129818682 11.49563142 0.013267227 0.170553062 1.441613561 0.981992501 2.125068565 1.838998091 2.44489384 0.004485851 0.00225 0.091440297 0.26898688 0.161800131 0.001192607 1.061839319 0.078781597 0.041741253 216.2916 0.028346031 0.079636386 0.007148603 41385.6 1209.6 13651.2 34560 26265.6 0.87446 271.16208
34789 728749 6.193633694 8.14162402 11.5457653 0.013612603 0.162297275 1.448716745 0.964374946 2.140726517 1.864377217 2.490443169 0.004518018 0.00225 0.097444934 0.279296192 0.159518449 0.001184335 1.042712787 0.083317634 0.041451736 218.2572 0.027744509 0.078272911 0.006606878 25920 1209.6 13651.2 34560 26265.6 0.89402 266.78484
34790 728750 6.307702027 8.153443877 11.59790696 0.013949138 0.155039359 1.454715851 0.946781329 2.154105415 1.890816887 2.529242158 0.004548417 0.00225 0.103428427 0.288104956 0.157248631 0.001177479 1.023723204 0.08801405 0.041211776 220.2228 0.027176561 0.076943892 0.006135549 41385.6 1209.6 13651.2 34560 26265.6 0.91309 235.5958957
34791 728751 6.419920181 8.165234828 11.65222884 0.014274822 0.148888328 1.459527304 0.929271004 2.164952028 1.918382976 2.560607903 0.004576933 0.00225 0.109366562 0.295246447 0.154993778 0.001172079 1.004830517 0.092867336 0.041022748 222.1884 0.026646745 0.075654596 0.005739335 41385.6 1209.6 11232 34560 26265.6 0.93158 261.321984
34792 728752 6.529740799 8.176953449 11.70890335 0.014587644 0.143953193 1.46306753 0.911903327 2.173013131 1.947141363 2.583857504 0.004603446 0.00225 0.115235123 0.300553936 0.152756988 0.001168172 0.985994677 0.097873985 0.040886027 224.154 0.026159621 0.074410291 0.005422954 41385.6 1209.6 11232 34560 26265.6 0.94945 270.32292
34793 728753 6.636616524 8.188556315 11.76810293 0.014885596 0.140342969 1.465252953 0.894737651 2.178035493 1.977157922 2.598308059 0.004627841 0.00225 0.121009897 0.303860696 0.150541362 0.0011658 0.967175633 0.103030487 0.040802986 226.1196 0.02571975 0.073216245 0.005191125 50457.6 1209.6 11232 34560 26265.6 0.9666 254.37888
34794 728754 6.74 8.2 11.83 0.015166667 0.138166667 1.466 0.877833333 2.179765886 2.00849853 2.603276667 0.00465 0.00225 0.126666667 0.305 0.14835 0.001165 0.948333333 0.108333333 0.040775 228.0852 0.02533169 0.072077725 0.005048568 50457.6 1209.6 11232 34560 26265.6 0.98296 197.79228
34795 728755 6.843581844 8.212311355 11.89946081 0.015447495 0.136762274 1.465103582 0.859972284 2.179511123 2.045075006 2.603275215 0.00467103 0.002282217 0.13225839 0.30455564 0.146158341 0.00117653 0.92947334 0.116835628 0.041178555 230.0508 0.025 0.071 0.005 50457.6 1209.6 11232 34560 26265.6 0.99925 148.37256
